Freq. 	 Ampl. 	 Tau 	 Offs
1.16	-0.00105503853474	4.52216741078	-0.000535594478367
1.17	-0.00111025339028	4.48130549085	-0.000534831700224
1.18	-0.00125456928636	4.49705065969	-0.000528425571546
1.19	-0.00143547380164	4.5946529702	-0.000510613415323
1.2	-0.00146095412378	4.57796230076	-0.000522220850037
1.21	-0.00136879373252	4.55841926317	-0.000508208598363
1.22	-0.00118426951	4.47615277326	-0.000530267492169
1.23	-0.00102112981974	4.41183067427	-0.000553836825283
1.24	-0.000978453711605	4.44263969585	-0.000536226254863
1.25	-0.00101697954919	4.44607937074	-0.000564638464906
1.26	-0.00117835493992	4.50295091255	-0.000532762473646
1.27	-0.00138237986909	4.5811252984	-0.000519585655184
1.28	-0.00150464856533	4.59629495894	-0.000495943559568
1.29	-0.00143042753475	4.60991204817	-0.000514419173964
1.3	-0.00121051693197	4.4584213014	-0.000537550902085
1.31	-0.00102532807908	4.39733035486	-0.000548388133845
1.32	-0.000956513811958	4.44373826122	-0.000555733919137
1.33	-0.000959651174383	4.42498840526	-0.00057185823764
1.34	-0.00111189512868	4.516491265	-0.000527718502988
1.35	-0.00134128818544	4.5975302614	-0.000492551194409
1.36	-0.00150538299405	4.59463066202	-0.000505009792529
1.37	-0.00146777367961	4.57811687314	-0.00050625519366
1.38	-0.00125545289983	4.49804930765	-0.000529236180985
1.39	-0.00106063692662	4.46359222693	-0.00054710831319
1.4	-0.000949642386415	4.47587397676	-0.000539895324509
1.41	-0.000922189051329	4.44363636609	-0.000558921057362
1.42	-0.00105182430293	4.54389268104	-0.000523475611354
1.43	-0.00120297659234	4.48348324628	-0.000559316971441
1.44	-0.00147626436	4.679989297	-0.000497136272594
1.45	-0.00150034786971	4.64801391559	-0.000489284454226
1.46	-0.00125524799204	4.43937522321	-0.000558696119394
1.47	-0.00107463772485	4.42378100114	-0.000544319620976
1.48	-0.000957006425344	4.4678484708	-0.00053979868698
1.49	-0.000930058916723	4.51449910659	-0.000549389502206
1.5	-0.000992915753811	4.49324495517	-0.000549529141803
1.51	-0.00115938700941	4.51165447401	-0.000547896269144
1.52	-0.00140933558704	4.57070742227	-0.000513098201265
1.53	-0.00147302647957	4.54614586774	-0.000534099438772
1.54	-0.00133675408572	4.53260402263	-0.000527813187147
1.55	-0.00111676190102	4.48778212495	-0.00052325542787
1.56	-0.000913984070088	4.39755354616	-0.000576376297696
1.57	-0.000885882077926	4.49692072198	-0.000562776574551
1.58	-0.000961823653238	4.57871816289	-0.000533144082894
1.59	-0.00109192913174	4.47365346789	-0.000546438659301
1.6	-0.00133982363565	4.53016403912	-0.000538636747562
1.61	-0.00150383038725	4.5657330099	-0.000524965777791
1.62	-0.00142846968845	4.60671748963	-0.000500834334455
1.63	-0.00112080102375	4.43837862365	-0.000557334441261
1.64	-0.000964140160446	4.49402946573	-0.000538098186334
1.65	-0.000866608798921	4.51869448043	-0.000552930210013
1.66	-0.000900296480527	4.56657844188	-0.000534280363747
1.67	-0.00102368114893	4.57238266772	-0.000541340082179
1.68	-0.00120564491762	4.46416218851	-0.000576913119679
1.69	-0.00146504818097	4.54210480738	-0.000532319611447
1.7	-0.00148126419563	4.59516483456	-0.000513713241244
1.71	-0.00126247813367	4.56532113421	-0.000521403548225
1.72	-0.00100408368218	4.4626604162	-0.000564731404895
1.73	-0.000897852678465	4.51269437042	-0.000546407012318
1.74	-0.000873506702533	4.50816344241	-0.000549812607138
1.75	-0.000979234950792	4.53320609147	-0.000541964043363
1.76	-0.00116421537126	4.52168542219	-0.000554752914624
1.77	-0.00142155862762	4.5491358188	-0.000527573268446
1.78	-0.00148185991376	4.55214578804	-0.000529327870912
1.79	-0.00127626476128	4.50220248814	-0.000567943467134
1.8	-0.00104122545864	4.44870360589	-0.000565050602196
1.81	-0.000930000295652	4.54850751993	-0.000535053774351
1.82	-0.000866039862372	4.52037006581	-0.000561448783707
1.83	-0.000939949823986	4.55292711592	-0.000544881370978
1.84	-0.00108179306445	4.44812747492	-0.000558715386657
1.85	-0.0013576226568	4.51656176111	-0.000528985677163
1.86	-0.00152365572714	4.60391278633	-0.000519586901635
1.87	-0.00136352480047	4.56031026093	-0.000539300969591
1.88	-0.00112173085908	4.5549620473	-0.000544956967179
1.89	-0.000940912846151	4.51723102944	-0.000557876416773
1.9	-0.000863691539908	4.49280423043	-0.000538289119938
1.91	-0.000884868034821	4.48410916079	-0.000555328464191
1.92	-0.0010332041669	4.51245251909	-0.00054524829631
1.93	-0.00122665247426	4.46035528566	-0.000559544073493
1.94	-0.00147299409211	4.53656953173	-0.000507915816006
1.95	-0.00140644226179	4.53903619019	-0.000550558074653
1.96	-0.00120087632381	4.57125932354	-0.000551087515623
1.97	-0.00100500293577	4.56252477163	-0.00053559606062
1.98	-0.000884897934617	4.53343785184	-0.000561792298655
1.99	-0.000839604184898	4.39543129639	-0.000563920057287
2.0	-0.0009611187794	4.47621198467	-0.000551680036659
2.01	-0.00117016823357	4.49053533544	-0.000551882032068
2.02	-0.00140966003591	4.52136729882	-0.000536772144669
2.03	-0.00149340595934	4.62156203712	-0.000504907445764
2.04	-0.00132652305949	4.64133252423	-0.000497375367753
2.05	-0.00105614155096	4.51025003892	-0.000556226778857
2.06	-0.00091049109601	4.44511319196	-0.000532487033091
2.07	-0.000889330807268	4.49536002721	-0.000548237242564
2.08	-0.000949015738108	4.45183505244	-0.000548560097035
